,Time,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_15_rep_3,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_10_rep_3,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
20,01:00:00,307,319,292,1148,1016,1268,5331,4890,5592,12094,9831,11502,19765,19747,19650,21643,20890,20356,28194,25054,24000,1302,1228,1236,4436,4291,4112,11989,11066,10231,15482,16132,12319,21787,22579,22297,25628,24949,23676,26713,25535,27226,988,900,892,2732,2685,2550,7115,7364,7601,10932,11972,11047,20039,19932,18806,23339,21810,21441,24708,26055,24316,1588,1718,1412,4712,5263,4625,10670,10243,9778,18846,16377,16027,21707,24047,20444,25798,23574,25579,29384,27690,27060,107,88,91
21,01:03:00,370,348,334,1409,1245,1547,6294,5769,6546,13260,10646,12648,21123,20950,20881,23075,22257,21709,28888,26494,25106,1510,1449,1428,5079,4942,4744,12971,12146,11367,16885,17388,13644,23149,23765,23431,26672,26044,24997,27921,26899,28295,1145,1070,1026,3077,3150,2933,8165,8441,8575,12005,13064,12281,21194,21216,20415,24633,23036,22565,26267,26894,25708,1831,1961,1613,5415,5931,5348,11775,11456,10787,20042,17991,17385,23781,25489,22019,26951,25028,27395,30493,29049,28577,104,86,91
22,01:06:00,427,409,390,1674,1520,1819,7322,6682,7857,14547,11845,14099,22484,21933,22324,24343,23424,23328,30285,27885,26382,1746,1687,1641,5722,5594,5436,14328,13271,12485,18403,18614,14837,24724,25093,25161,27886,27424,26050,29112,28014,29484,1303,1173,1196,3493,3747,3357,9242,9564,9781,13154,14175,13355,22238,22289,21510,25691,24179,23789,27198,28064,26837,2143,2209,1850,6156,6682,6042,12960,12622,11648,21208,19637,19006,25345,26638,23321,28005,26557,28775,31541,30366,29306,120,86,98
23,01:09:00,494,482,464,1965,1751,2191,8382,7618,8977,15751,13047,15419,23750,23553,23609,25435,24678,24773,31172,28852,27449,1970,1923,1864,6450,6429,6179,15548,14315,13503,19587,19820,16427,26211,26300,26262,28906,28623,27388,30056,28957,30595,1403,1313,1316,3892,4321,3742,10305,10505,10824,14069,15165,14407,23591,23671,22833,26588,25291,24738,28542,29004,27882,2432,2480,2137,7024,7472,6840,14219,13790,12604,22673,20992,20260,26734,27763,24768,28869,27644,30135,32715,31630,30630,129,93,99
24,01:12:00,588,544,537,2240,2060,2482,9358,8599,10136,17114,14342,16798,25003,24738,24901,26538,25852,26224,32428,30418,28389,2150,2108,2074,7077,7118,6963,16815,15410,14444,20828,21159,17852,27368,27433,27443,30052,29503,28368,31302,29836,31598,1542,1427,1476,4261,4920,4159,11525,11412,11750,15099,16239,15344,24663,24313,23957,27414,26050,25731,29504,30221,28719,2747,2821,2373,7831,8084,7636,15733,14697,13587,23628,22320,21663,28012,28677,25956,30005,28847,31903,33673,32271,31595,132,100,81
25,01:15:00,675,621,630,2574,2364,2872,10446,9696,11425,18332,15670,17959,26016,25702,25764,27153,26845,27286,32983,31190,29422,2426,2372,2368,7797,7961,7896,18176,16540,15586,22252,22464,19481,28632,28448,28511,30968,30487,29202,31852,30637,32461,1664,1540,1590,4714,5560,4588,12453,12329,12625,16132,16950,16276,25395,25526,24890,28500,27045,26662,30435,30954,29602,3064,3111,2641,8648,8876,8416,17011,15925,14575,24697,23735,22929,29413,29779,27366,30675,29901,32875,34691,33302,32323,119,87,84
26,01:18:00,763,679,705,2944,2718,3217,11664,10940,12538,19428,17357,19166,27390,26946,27076,28394,27582,28664,33507,32022,30386,2731,2581,2580,8484,8698,8689,19384,17642,16503,23369,23313,20930,29909,29284,29603,31748,31629,30279,32794,31239,32931,1837,1657,1740,5018,6071,4959,13370,13230,13661,16819,18049,17188,26444,26279,25714,29187,27991,27582,31170,31411,30489,3498,3421,2975,9502,9571,9247,18679,17168,15552,25919,24883,24012,30661,30635,28392,31386,30806,33977,35489,34304,33002,149,93,85
27,01:21:00,853,767,828,3262,3032,3624,12679,11972,13614,20755,18591,20624,28360,27844,28021,28964,28619,29539,34492,32943,31253,2997,2871,2881,9204,9648,9641,20643,18774,17550,24558,24599,22381,31186,30032,30873,32791,32070,30964,33753,32220,33764,1954,1833,1891,5450,6654,5347,14260,14097,14434,17771,19018,18062,27393,26949,26946,29906,28957,28593,32501,32524,31212,3912,3789,3225,10340,10279,10042,19883,18114,16628,26961,26113,25191,31417,31823,29183,32226,32047,34911,36172,35167,33569,141,88,101
28,01:24:00,1008,850,943,3636,3415,3996,13890,13146,14795,21796,19749,21511,29279,29150,28938,30026,29400,30535,34931,34165,31761,3243,3119,3130,9868,10409,10564,21832,19994,18883,25929,25592,23943,32416,30995,31898,33497,33174,31845,34498,33085,34848,2071,1934,2053,5858,7153,5747,15213,14943,15398,18667,19697,18947,28048,27705,27592,30905,29557,29424,32829,32932,32075,4365,4155,3562,11176,11130,11020,21246,19449,17451,28073,27316,26483,32556,32746,30376,33153,33147,36211,37007,36263,34403,148,103,101
29,01:27:00,1114,959,1080,4060,3770,4397,14964,14345,15981,23046,21047,22825,30213,29934,29982,30634,30228,31195,35950,34822,32489,3532,3389,3351,10542,11295,11439,23064,21070,19713,26826,26348,24880,33687,31783,32651,34105,33725,32333,34869,32967,34940,2253,2097,2199,6211,7569,6181,16003,15665,16076,19564,20655,19637,29044,28405,28290,31270,30220,30096,33408,33742,32690,4816,4525,3884,12047,11843,11786,22421,20520,18361,29103,28686,27293,33459,33506,31351,33588,34076,36888,37596,36491,35146,142,106,110
