,Time,no_empty_0.5_rep_1,no_empty_0.5_rep_2,no_empty_0.5_rep_3,no_empty_1_rep_1,no_empty_1_rep_2,no_empty_1_rep_3,no_empty_2.5_rep_1,no_empty_2.5_rep_2,no_empty_2.5_rep_3,no_empty_5_rep_1,no_empty_5_rep_2,no_empty_5_rep_3,no_empty_10_rep_1,no_empty_10_rep_2,no_empty_10_rep_3,no_empty_15_rep_1,no_empty_15_rep_2,no_empty_15_rep_3,no_empty_30_rep_1,no_empty_30_rep_2,no_empty_30_rep_3,empty_0.5_rep_1,empty_0.5_rep_2,empty_0.5_rep_3,empty_1_rep_1,empty_1_rep_2,empty_1_rep_3,empty_2.5_rep_1,empty_2.5_rep_2,empty_2.5_rep_3,empty_5_rep_1,empty_5_rep_2,empty_5_rep_3,empty_10_rep_1,empty_10_rep_2,empty_10_rep_3,empty_15_rep_1,empty_15_rep_2,empty_15_rep_3,empty_30_rep_1,empty_30_rep_2,empty_30_rep_3,empty_T7_0.5_rep_1,empty_T7_0.5_rep_2,empty_T7_0.5_rep_3,empty_T7_1_rep_1,empty_T7_1_rep_2,empty_T7_1_rep_3,empty_T7_2.5_rep_1,empty_T7_2.5_rep_2,empty_T7_2.5_rep_3,empty_T7_5_rep_1,empty_T7_5_rep_2,empty_T7_5_rep_3,empty_T7_15_rep_1,empty_T7_15_rep_2,empty_T7_15_rep_3,empty_T7_10_rep_1,empty_T7_10_rep_2,empty_T7_10_rep_3,empty_T7_30_rep_1,empty_T7_30_rep_2,empty_T7_30_rep_3,empty_sigma70_0.5_rep_1,empty_sigma70_0.5_rep_2,empty_sigma70_0.5_rep_3,empty_sigma70_1_rep_1,empty_sigma70_1_rep_2,empty_sigma70_1_rep_3,empty_sigma70_2.5_rep_1,empty_sigma70_2.5_rep_2,empty_sigma70_2.5_rep_3,empty_sigma70_5_rep_1,empty_sigma70_5_rep_2,empty_sigma70_5_rep_3,empty_sigma70_10_rep_1,empty_sigma70_10_rep_2,empty_sigma70_10_rep_3,empty_sigma70_15_rep_1,empty_sigma70_15_rep_2,empty_sigma70_15_rep_3,empty_sigma70_30_rep_1,empty_sigma70_30_rep_2,empty_sigma70_30_rep_3,blank_rep_1,blank_rep_2,blank_rep_3
41,01:54:00,14,12,1,3,6,6,23,2,11,71,63,61,238,257,277,488,375,405,1299,1446,1423,13,6,1,19,32,11,42,34,43,128,146,118,317,379,329,645,611,620,1431,1360,1350,17,7,22,35,14,39,74,61,51,208,199,198,448,289,449,371,376,306,1364,1316,1283,30,4,6,29,30,23,96,80,85,194,186,186,456,472,482,762,764,744,1334,1275,1283,2,5,6
42,01:57:00,6,0,14,17,6,0,19,25,15,62,73,45,235,272,287,521,397,433,1336,1496,1501,9,0,15,16,13,15,60,45,38,158,148,126,345,389,363,676,644,676,1461,1408,1386,25,8,12,31,18,22,50,67,78,192,204,208,461,277,464,375,394,303,1391,1335,1299,6,13,13,32,41,16,94,84,98,197,195,193,466,499,506,799,796,755,1358,1303,1302,14,0,20
43,02:00:00,11,9,15,19,15,4,30,19,12,68,70,63,239,281,286,540,421,442,1398,1535,1516,12,21,9,28,9,3,38,44,50,142,165,131,366,399,365,691,661,703,1502,1460,1441,10,8,10,23,12,31,73,72,79,211,209,206,480,290,465,386,402,292,1426,1348,1322,11,17,15,30,34,30,90,91,82,201,212,211,484,488,522,828,826,790,1397,1334,1345,0,0,0
44,02:03:00,7,8,0,4,11,1,27,11,22,73,69,54,271,290,307,556,430,469,1447,1593,1570,11,1,8,11,20,11,53,57,40,169,170,150,378,407,370,738,688,740,1533,1484,1479,12,15,10,29,5,27,65,73,78,217,199,225,491,289,473,403,403,325,1458,1390,1340,12,11,18,21,25,37,94,85,87,222,225,218,482,528,535,855,852,829,1429,1370,1364,4,0,7
45,02:06:00,14,6,0,0,12,0,24,25,11,60,72,61,269,294,308,587,464,480,1494,1623,1593,3,3,7,20,12,6,40,58,58,157,151,147,399,432,402,771,719,740,1563,1505,1512,8,24,11,27,22,36,71,74,72,227,216,227,499,313,489,401,415,345,1469,1400,1373,21,24,5,30,31,40,102,101,86,205,220,194,538,551,576,904,892,858,1438,1399,1386,6,16,4
46,02:09:00,4,4,12,4,32,3,22,19,29,61,77,62,278,315,328,602,471,508,1536,1655,1661,16,14,16,17,17,12,41,50,48,181,179,162,427,446,437,780,728,774,1594,1555,1543,0,7,24,26,24,33,75,80,72,226,213,215,502,296,488,412,420,334,1490,1411,1373,26,21,2,32,39,17,93,114,103,215,218,220,529,555,591,912,918,877,1484,1430,1439,0,8,1
47,02:12:00,0,0,0,13,7,10,21,29,29,46,90,79,295,332,344,620,483,521,1571,1682,1688,22,16,17,21,18,11,62,55,53,181,185,165,435,462,453,786,777,792,1619,1566,1565,0,7,14,26,31,33,89,74,61,231,235,233,528,310,526,437,444,334,1525,1419,1382,16,17,19,30,31,35,97,103,103,240,250,221,533,589,612,949,941,904,1486,1479,1454,12,0,4
48,02:15:00,1,1,15,3,8,9,34,26,26,82,95,74,309,338,352,636,516,546,1605,1722,1729,14,10,18,6,13,16,48,29,61,198,177,170,448,472,451,831,804,830,1671,1589,1609,10,21,24,36,31,26,65,69,85,230,230,240,534,300,530,427,431,347,1527,1431,1398,18,21,5,39,34,40,96,111,109,241,239,239,563,605,624,962,977,935,1524,1483,1481,22,0,0
49,02:18:00,0,0,8,19,12,14,25,24,27,71,91,77,316,352,349,667,548,576,1663,1763,1722,28,23,19,10,21,31,68,62,71,193,199,169,469,480,473,851,815,861,1680,1644,1632,34,10,21,27,33,29,85,72,67,236,225,251,543,318,531,442,445,351,1578,1453,1413,21,31,19,38,33,45,117,109,93,254,241,251,580,618,636,989,999,951,1543,1527,1520,5,0,14
50,02:21:00,0,10,12,22,6,12,31,52,33,90,95,75,328,371,382,692,547,584,1705,1805,1791,1,8,4,12,20,35,58,66,63,199,186,166,485,514,481,873,857,874,1705,1655,1664,14,11,6,37,38,34,86,81,67,237,235,249,557,324,527,446,451,350,1579,1464,1430,5,17,6,50,38,26,103,107,103,261,242,247,602,650,648,1033,1037,973,1562,1539,1528,2,3,0
